Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (CH)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-07T16:00+01:00,2963.558009,462.5,6508.700457,145.89
2025-01-07T17:00+01:00,2963.237673,462.5,6297.674508,145.9
2025-01-07T18:00+01:00,2963.287726,462.5,6317.24447,142.06
2025-01-07T19:00+01:00,2964.488986,462.5,6519.577224,139.97
2025-01-07T20:00+01:00,2965.940508,462.5,4581.178992,135
2025-01-07T21:00+01:00,2965.109637,462.5,3688.248227,131.9
2025-01-07T22:00+01:00,2968.292975,462.5,3654.928174,131.9
2025-01-07T23:00+01:00,2969.013731,462.5,2431.670139,128.02
2025-01-08T00:00+01:00,2968.443133,462.5,1669.126484,115.19
2025-01-08T01:00+01:00,2968.613311,462.5,1642.917256,109.69
2025-01-08T02:00+01:00,2968.012681,462.5,1784.128663,104.36
2025-01-08T03:00+01:00,2966.811421,462.5,1563.748155,102.32
2025-01-08T04:00+01:00,2964.008482,462.5,1612.309453,103.28
2025-01-08T05:00+01:00,2961.806172,462.5,1926.774662,117.28
2025-01-08T06:00+01:00,2959.703967,462.5,3712.98353,129.85
2025-01-08T07:00+01:00,2958.602813,462.5,6119.166517,136.03
2025-01-08T08:00+01:00,2958.652865,462.5,5525.870439,138.4
2025-01-08T09:00+01:00,2960.384681,462.5,4773.317923,135.24
2025-01-08T10:00+01:00,2956.430534,462.5,4576.135637,134.65
2025-01-08T11:00+01:00,2955.12917,462.5,4553.476643,131.28
2025-01-08T12:00+01:00,2954.578592,462.5,4172.406832,127.71
2025-01-08T13:00+01:00,2950.494309,462.5,3654.583474,128.69
2025-01-08T14:00+01:00,2948.772503,462.5,3700.371702,135.39
2025-01-08T15:00+01:00,2949.092839,462.5,4656.492739,143.24
2025-01-08T16:00+01:00,2947.290949,462.5,6385.779671,146.11
2025-01-08T17:00+01:00,2946.239847,462.5,6821.770135,146.57
2025-01-08T18:00+01:00,2946.840477,462.5,6165.674453,150.34
2025-01-08T19:00+01:00,2948.121821,462.5,5961.539122,141.74
2025-01-08T20:00+01:00,2948.792524,462.5,3862.696123,134.91
2025-01-08T21:00+01:00,2950.274078,462.5,3246.298653,128.27
2025-01-08T22:00+01:00,2951.625495,462.5,2530.050495,126.98
2025-01-08T23:00+01:00,2950.574393,462.5,2108.981238,118.91
2025-01-09T00:00+01:00,2950.043836,462.5,1864.053116,117.59
2025-01-09T01:00+01:00,2949.773553,462.5,1934.1876,109.81
2025-01-09T02:00+01:00,2952.025915,462.5,1825.909261,102.08
2025-01-09T03:00+01:00,2952.276178,462.5,1763.283289,101.93
2025-01-09T04:00+01:00,2952.676598,462.5,1842.253772,102.53
2025-01-09T05:00+01:00,2954.348351,462.5,1958.647578,113.81
2025-01-09T06:00+01:00,2952.396304,462.5,3730.077936,132.54
2025-01-09T07:00+01:00,2951.425285,462.5,6057.452202,151.57
2025-01-09T08:00+01:00,2945.669249,462.5,8040.591719,170.52
2025-01-09T09:00+01:00,2945.739322,462.5,7635.773344,151
2025-01-09T10:00+01:00,2955.099138,462.5,6933.931396,149.38
2025-01-09T11:00+01:00,2955.93001,462.5,6740.316345,144.38
2025-01-09T12:00+01:00,2945.939532,462.5,5741.443204,138.9
2025-01-09T13:00+01:00,2937.66085,462.5,4974.108915,134.69
2025-01-09T14:00+01:00,2941.765154,462.5,4735.936946,131.4
2025-01-09T15:00+01:00,2943.08654,462.5,4626.816082,132.9
2025-01-09T16:00+01:00,2944.718251,462.5,5797.611272,131.39
2025-01-09T17:00+01:00,2949.493259,462.5,6677.922441,135
